Urban Area,PopGroup,Year,Population,PopRank,Peak Travelers,Commuters,Freeway Daily VMT,Freeway Lane miles,Arterial Daily VMT,Arternial Lane-miles,Transit Passenger Miles,Transit Passenger Trips,Value of Time,Commercial Value of Time,Avg. State Gas Cost,Avg. State Diesel Cost,% Peak VMT Congested,% Lane-miles Congested,Number of Rush Hours,Gallons Excess Fuel,Gallons Excess Ranged,Gallons Excess per Commuter,Gallons per Rank,Total Hours of Delay,Total Delay Rank,Delay per Commuter,Rank,Travel Time Index,TTI Rank,Commuter Stress Index,CSI Rank,Freeway Planning Time Index 95,Freeway Planning Time Index 95 Rank,Freeway Planning Time Index 80,Freeway Planning Time Index 80 Rank,Excess CO2 lbs,Excess CO2 Rank,Excess CO2 per Peak Commuter,Excess CO2 per Peak Commuter Rank,Truck Congestion Cost,Truck Commodity Value,Annual Congestion Cost,Annual Congestion Cost Rank,Congestion Cost per Commuter,Congestion Cost per Commuter Rank,Delay Reduced due to Operations Treatments,Delay Reduced due to Operations per Commuter,Wasted Fuel Saved by Operations Treatments,Congestion Cost Saved by Operations Treatments,Delay Reduced due to Transit,Delay Reduced due to Transit per Commuter,Fuel Saved by Transit,Congestion Cost Saved by Transit,Roadway Congestion Index,Presence of Urban Rail in 2011,Size Category of Urban Rail in 2011
Oxnard CA,Med,2003,615,60,330,309,6900,375,5000,1040,25.5,4.3,13.73,72.23,1.78,1.79,51,40,NA,4084,76,10,86,10666,70,26,71,1.09,88,NA,NA,NA,NA,NA,NA,71,80,181,88,NA,NA,183,70,601,70,NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,NA
Pensacola FL-AL,Sml,2003,330,91,178,167,1350,135,5230,810,8,1.7,13.73,72.23,1.53,1.61,29,26,NA,2886,86,15,64,5320,88,23,82,1.14,73,NA,NA,NA,NA,NA,NA,58,83,284,68,NA,NA,93,88,505,82,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA
Philadelphia PA-NJ-DE-MD,Vlg,2003,5285,4,2886,2300,33875,2300,47245,8040,1506.7,337.7,13.73,72.23,1.51,1.59,63,52,NA,69987,9,22,27,155409,7,46,18,1.26,20,NA,NA,NA,NA,NA,NA,1408,9,430,29,NA,NA,2688,8,1036,24,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA
Phoenix-Mesa AZ,Vlg,2003,3005,13,1557,1401,25000,1325,31035,6000,216.4,54.4,13.73,72.23,1.59,1.61,63,49,NA,35240,14,21,31,65479,17,37,45,1.14,73,NA,NA,NA,NA,NA,NA,721,14,415,32,NA,NA,1241,15,927,34,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA
Pittsburgh PA,Lrg,2003,1760,24,972,903,12210,1250,18070,3670,334.3,71.4,13.73,72.23,1.51,1.59,25,31,NA,21614,27,20,36,50097,24,46,18,1.29,10,NA,NA,NA,NA,NA,NA,434,25,399,35,NA,NA,852,24,1031,26,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
Portland OR-WA,Lrg,2003,1670,26,850,787,12945,740,12510,2350,452.8,105.6,13.73,72.23,1.65,1.65,65,51,NA,21122,29,19,39,48544,25,46,18,1.29,10,NA,NA,NA,NA,NA,NA,426,27,368,44,NA,NA,828,25,1036,24,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA
Poughkeepsie-Newburgh NY,Med,2003,460,75,247,231,4750,395,3925,775,25,1.6,13.73,72.23,1.62,1.73,24,31,NA,3633,81,13,75,7448,79,25,77,1.15,68,NA,NA,NA,NA,NA,NA,73,79,251,75,NA,NA,129,79,505,82,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA
Providence RI-MA,Lrg,2003,1230,35,664,617,11095,900,11030,2050,85.5,18,13.73,72.23,1.57,1.68,40,37,NA,17358,32,19,39,33249,34,41,32,1.24,31,NA,NA,NA,NA,NA,NA,346,31,377,42,NA,NA,553,36,893,39,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA
Provo-Orem UT,Sml,2003,420,82,226,212,3450,235,2880,560,0,0,13.73,72.23,1.61,1.56,30,31,NA,2359,92,5,100,6385,82,23,82,1.09,88,NA,NA,NA,NA,NA,NA,47,90,102,98,NA,NA,103,84,441,91,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA
Raleigh-Durham NC,Lrg,2003,900,48,491,457,8450,630,10935,2170,52,13.2,13.73,72.23,1.46,1.47,45,48,NA,7385,59,12,79,15387,54,25,77,1.15,68,NA,NA,NA,NA,NA,NA,149,59,237,78,NA,NA,268,55,585,74,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA
Richmond VA,Med,2003,915,46,491,460,10830,990,9895,2190,43.3,12.7,13.73,72.23,1.46,1.49,26,28,NA,6586,62,10,86,14103,56,22,86,1.11,83,NA,NA,NA,NA,NA,NA,132,62,186,87,NA,NA,234,59,483,86,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA
Riverside-San Bernardino CA,Lrg,2003,1775,23,941,874,20500,950,11800,2620,121.2,24.3,13.73,72.23,1.78,1.79,74,47,NA,16633,34,14,70,41475,28,35,56,1.2,46,NA,NA,NA,NA,NA,NA,265,43,224,81,NA,NA,738,27,843,50,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA
Rochester NY,Med,2003,690,55,371,347,5775,520,4275,1460,50.9,13.6,13.73,72.23,1.62,1.73,20,20,NA,5804,69,13,75,13312,59,26,71,1.18,56,NA,NA,NA,NA,NA,NA,116,68,257,72,NA,NA,219,64,599,71,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA
Sacramento CA,Lrg,2003,1650,27,865,782,13900,725,12310,2190,139.7,30.5,13.73,72.23,1.78,1.79,78,60,NA,18545,31,18,46,41356,29,38,41,1.25,23,NA,NA,NA,NA,NA,NA,288,39,281,70,NA,NA,705,29,868,44,NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA
Salem OR,Sml,2003,215,98,116,109,1350,115,1960,405,16.3,5.4,13.73,72.23,1.65,1.65,28,31,NA,2853,87,17,52,5799,85,39,36,1.2,46,NA,NA,NA,NA,NA,NA,57,84,339,53,NA,NA,101,86,844,49,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Salt Lake City UT,Lrg,2003,930,44,499,468,7300,510,7790,1345,184.6,31.7,13.73,72.23,1.61,1.56,60,57,NA,8775,54,15,64,22043,45,34,58,1.26,20,NA,NA,NA,NA,NA,NA,175,56,289,65,NA,NA,359,48,762,59,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
San Antonio TX,Lrg,2003,1330,32,726,675,18000,1165,10600,2190,161.9,40.3,13.73,72.23,1.45,1.43,56,40,NA,14027,41,16,56,32542,36,37,45,1.2,46,NA,NA,NA,NA,NA,NA,281,41,317,57,NA,NA,543,37,841,51,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA
San Diego CA,Vlg,2003,2865,15,1484,1336,36195,1860,21245,3340,509.2,93.3,13.73,72.23,1.78,1.79,80,65,NA,29501,16,16,56,74213,14,40,34,1.22,38,NA,NA,NA,NA,NA,NA,425,28,226,80,NA,NA,1262,14,901,38,NA,NA,NA,NA,NA,NA,NA,NA,1.37,NA,NA
San Francisco-Oakland CA,Vlg,2003,3900,11,2012,1795,48985,2420,30420,5165,2169.8,417.4,13.73,72.23,1.78,1.79,79,58,NA,82761,6,34,3,198837,4,78,1,1.27,17,NA,NA,NA,NA,NA,NA,1665,6,679,3,NA,NA,3355,4,1724,2,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA
San Jose CA,Lrg,2003,1675,25,915,850,16565,895,17950,2480,188.8,46.9,13.73,72.23,1.78,1.79,74,61,NA,27985,18,25,16,68233,16,58,5,1.28,13,NA,NA,NA,NA,NA,NA,422,29,359,47,NA,NA,1123,17,1302,8,NA,NA,NA,NA,NA,NA,NA,NA,1.36,NA,NA
San Juan PR,Lrg,2003,2225,18,1215,1129,11100,740,13000,2000,330,72,13.73,72.23,2.03,1.22,64,55,NA,25387,22,16,56,41837,27,29,66,1.24,31,NA,NA,NA,NA,NA,NA,512,20,329,55,NA,NA,712,28,690,65,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,NA
Sarasota-Bradenton FL,Med,2003,590,64,317,297,2100,145,6110,920,17,3.2,13.73,72.23,1.53,1.61,47,44,NA,7245,60,22,27,10367,71,26,71,1.15,68,NA,NA,NA,NA,NA,NA,146,60,420,31,NA,NA,179,71,563,76,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA
Seattle WA,Vlg,2003,2900,14,1563,1411,30650,1745,23600,5230,1003.8,151.8,13.73,72.23,1.63,1.66,69,48,NA,48098,13,25,16,96523,13,52,14,1.3,9,NA,NA,NA,NA,NA,NA,974,12,516,18,NA,NA,1719,13,1246,10,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA
Spokane WA-ID,Sml,2003,355,88,191,179,1900,170,4180,1190,37.2,8.1,13.73,72.23,1.63,1.66,17,20,NA,4020,78,13,75,6852,80,27,68,1.14,73,NA,NA,NA,NA,NA,NA,81,76,256,73,NA,NA,125,80,622,69,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA
Springfield MA-CT,Med,2003,620,59,333,312,5030,445,6020,1460,39.4,10.9,13.73,72.23,1.53,1.64,20,23,NA,5707,71,15,64,11136,68,26,71,1.13,79,NA,NA,NA,NA,NA,NA,114,69,292,63,NA,NA,187,69,549,77,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA
St. Louis MO-IL,Lrg,2003,2140,19,1168,1085,27200,2020,17565,3660,272.1,48.1,13.73,72.23,1.43,1.39,51,40,NA,26589,20,19,39,54472,21,38,41,1.25,23,NA,NA,NA,NA,NA,NA,539,18,388,39,NA,NA,967,21,904,36,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA
Stockton CA,Sml,2003,370,85,199,187,3195,205,2000,430,57,5,13.73,72.23,1.78,1.79,30,32,NA,1681,96,10,86,2768,98,11,100,1.2,46,NA,NA,NA,NA,NA,NA,23,97,132,94,NA,NA,60,95,292,99,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA
Tampa-St. Petersburg FL,Lrg,2003,2050,20,1119,1040,12000,810,24675,3480,99.7,20.1,13.73,72.23,1.53,1.61,64,64,NA,25307,23,17,52,54231,22,39,36,1.21,40,NA,NA,NA,NA,NA,NA,508,21,341,52,NA,NA,928,22,882,41,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA
Toledo OH-MI,Med,2003,520,70,279,262,4115,330,4785,1175,20.6,4.4,13.73,72.23,1.52,1.49,26,25,NA,6437,63,16,56,12673,63,37,45,1.18,56,NA,NA,NA,NA,NA,NA,129,63,312,60,NA,NA,226,62,797,56,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
Tucson AZ,Med,2003,660,58,354,332,3285,245,10105,1635,62.4,16.9,13.73,72.23,1.59,1.61,54,52,NA,13969,42,29,8,18476,50,39,36,1.2,46,NA,NA,NA,NA,NA,NA,286,40,584,8,NA,NA,362,46,1023,27,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
Tulsa OK,Med,2003,670,56,360,337,7025,700,9335,1770,16,3.1,13.73,72.23,1.42,1.35,27,33,NA,7516,58,15,64,13357,58,30,65,1.09,88,NA,NA,NA,NA,NA,NA,150,58,296,62,NA,NA,241,57,712,63,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
Virginia Beach VA,Lrg,2003,1535,29,838,779,12875,940,15710,2800,87.4,17.8,13.73,72.23,1.46,1.49,52,45,NA,21492,28,21,31,53733,23,53,12,1.27,17,NA,NA,NA,NA,NA,NA,429,26,413,33,NA,NA,872,23,1158,18,NA,NA,NA,NA,NA,NA,NA,NA,1.02,NA,NA
Washington DC-VA-MD,Vlg,2003,4250,7,2100,1801,37815,2040,40395,5915,2193.2,434.3,13.73,72.23,1.62,1.73,81,63,NA,88084,5,35,2,187503,5,73,3,1.33,4,NA,NA,NA,NA,NA,NA,1763,5,688,2,NA,NA,3139,5,1657,3,NA,NA,NA,NA,NA,NA,NA,NA,1.34,NA,NA
Wichita KS,Med,2003,440,76,236,221,3740,515,4885,1650,11.3,2.5,13.73,72.23,1.52,1.49,7,16,NA,4594,75,14,70,5853,84,19,91,1.08,95,NA,NA,NA,NA,NA,NA,92,74,290,64,NA,NA,109,83,423,93,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA
Winston-Salem NC,Sml,2003,335,90,181,169,4280,380,1750,340,13,3.1,13.73,72.23,1.46,1.47,16,19,NA,2693,88,12,79,5225,90,24,80,1.13,79,NA,NA,NA,NA,NA,NA,55,85,242,77,NA,NA,93,88,538,79,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
Worcester MA-CT,Sml,2003,425,81,229,215,5260,470,4760,1090,11,3.8,13.73,72.23,1.53,1.64,21,31,NA,5910,68,16,56,11318,67,37,45,1.17,63,NA,NA,NA,NA,NA,NA,119,67,329,55,NA,NA,189,68,764,57,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA
Akron OH,Med,2002,580,64,308,289,5335,430,3990,1125,31.4,7.8,13.43,70.86,1.38,1.36,27,31,NA,5952,66,13,76,12646,59,31,60,1.19,51,NA,NA,NA,NA,NA,NA,119,66,261,74,NA,NA,211,62,658,64,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Albany NY,Med,2002,530,69,281,264,5820,550,4450,1135,46.9,12.1,13.43,70.86,1.49,1.51,21,32,NA,6320,63,16,53,9545,71,27,69,1.16,63,NA,NA,NA,NA,NA,NA,127,63,316,55,NA,NA,164,71,614,68,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA
Albuquerque NM,Med,2002,570,65,303,284,4100,300,6785,1400,21.6,7.6,13.43,70.86,1.37,1.34,43,41,NA,5911,67,15,62,12150,64,31,60,1.14,74,NA,NA,NA,NA,NA,NA,68,79,168,89,NA,NA,211,62,697,61,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA
Allentown-Bethlehem PA-NJ,Med,2002,610,60,324,304,4200,360,5280,920,19.3,4.5,13.43,70.86,1.36,1.43,40,42,NA,6575,62,14,72,13802,57,33,55,1.22,37,NA,NA,NA,NA,NA,NA,133,62,288,68,NA,NA,239,55,737,56,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA
Anchorage AK,Sml,2002,270,94,143,134,1495,195,2220,380,20.1,3.5,13.43,70.86,1.56,1.58,20,28,NA,3016,84,16,53,5819,85,28,67,1.21,41,NA,NA,NA,NA,NA,NA,53,84,285,69,NA,NA,99,85,586,70,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA
Atlanta GA,Vlg,2002,3900,11,1985,1787,47390,2470,42500,6600,856.3,165.7,13.43,70.86,1.24,1.24,79,62,NA,69873,8,30,7,150681,7,64,4,1.28,11,NA,NA,NA,NA,NA,NA,1412,8,593,7,NA,NA,2601,7,1521,4,NA,NA,NA,NA,NA,NA,NA,NA,1.35,NA,NA
Austin TX,Lrg,2002,990,40,533,495,9750,715,8550,1390,118.1,35.6,13.43,70.86,1.32,1.29,57,48,NA,14131,38,23,20,29208,38,45,21,1.29,9,NA,NA,NA,NA,NA,NA,284,37,464,20,NA,NA,487,39,1060,18,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA
Bakersfield CA,Med,2002,425,78,226,211,2045,195,4300,1050,31.6,7.2,13.43,70.86,1.66,1.58,22,26,NA,1370,98,6,96,1721,99,6,101,1.09,88,NA,NA,NA,NA,NA,NA,28,93,116,94,NA,NA,34,99,147,101,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
Baltimore MD,Lrg,2002,2295,17,1235,1147,25130,1520,17530,3230,635,117.1,13.43,70.86,1.42,1.41,66,50,NA,31762,15,20,33,64412,16,42,27,1.22,37,NA,NA,NA,NA,NA,NA,641,15,408,34,NA,NA,1112,16,997,21,NA,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA
Baton Rouge LA,Med,2002,465,73,247,231,3600,235,6520,1370,20,6.5,13.43,70.86,1.33,1.31,36,33,NA,10228,48,32,4,10829,68,37,42,1.17,61,NA,NA,NA,NA,NA,NA,211,47,640,3,NA,NA,213,61,1037,19,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA
Beaumont TX,Sml,2002,225,97,119,112,2565,225,2850,765,6.3,1.6,13.43,70.86,1.32,1.29,16,19,NA,2459,89,15,62,3680,92,26,72,1.07,97,NA,NA,NA,NA,NA,NA,49,87,309,59,NA,NA,64,91,556,75,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA
Birmingham AL,Med,2002,710,53,377,353,8760,675,7590,1505,15,3,13.43,70.86,1.32,1.31,39,33,NA,10080,49,22,23,18556,49,39,36,1.16,63,NA,NA,NA,NA,NA,NA,203,49,426,27,NA,NA,313,49,927,33,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA
Boise ID,Sml,2002,250,95,133,124,1340,105,3385,695,5,1.1,13.43,70.86,1.43,1.44,36,45,NA,1814,94,10,84,3390,94,19,89,1.08,93,NA,NA,NA,NA,NA,NA,28,93,157,91,NA,NA,55,96,435,88,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA
Boston MA-NH-RI,Vlg,2002,3970,9,1965,1769,36000,2300,32865,6240,1851.9,395.8,13.43,70.86,1.4,1.45,59,40,NA,71471,7,30,7,137466,9,55,6,1.4,1,NA,NA,NA,NA,NA,NA,1436,7,598,6,NA,NA,2279,9,1258,6,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
Boulder CO,Sml,2002,135,101,72,67,630,60,1145,195,0,0,13.43,70.86,1.39,1.4,27,36,NA,2344,90,26,10,3496,93,39,36,1.18,57,NA,NA,NA,NA,NA,NA,47,88,497,14,NA,NA,58,93,834,42,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Bridgeport-Stamford CT-NY,Med,2002,850,49,451,423,10170,600,6090,1375,33.5,11.1,13.43,70.86,1.46,1.42,60,39,NA,14839,36,25,13,31204,34,54,8,1.25,24,NA,NA,NA,NA,NA,NA,299,35,519,10,NA,NA,490,38,1250,7,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA
Brownsville TX,Sml,2002,175,100,93,87,630,50,1215,315,14.8,1.7,13.43,70.86,1.32,1.29,20,31,NA,964,100,7,94,1577,100,13,97,1.31,6,NA,NA,NA,NA,NA,NA,19,98,152,92,NA,NA,28,101,326,94,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Buffalo NY,Lrg,2002,1100,37,510,474,6435,650,7850,2305,74.5,24.5,13.43,70.86,1.49,1.51,20,22,NA,10966,45,18,47,22818,43,33,55,1.2,49,NA,NA,NA,NA,NA,NA,221,45,357,47,NA,NA,389,43,711,60,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
Cape Coral FL,Sml,2002,345,87,183,172,1300,100,4800,725,11.3,2.4,13.43,70.86,1.41,1.41,35,32,NA,5691,70,26,10,7751,77,33,55,1.18,57,NA,NA,NA,NA,NA,NA,115,68,519,10,NA,NA,136,76,766,53,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA
Charleston-North Charleston SC,Med,2002,465,73,247,231,3000,255,5600,820,15.3,3.5,13.43,70.86,1.25,1.26,42,39,NA,4875,73,15,62,9076,73,31,60,1.16,63,NA,NA,NA,NA,NA,NA,98,72,309,59,NA,NA,153,73,683,62,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA
Charlotte NC-SC,Lrg,2002,910,43,490,455,8700,590,7990,1295,87.5,16.6,13.43,70.86,1.33,1.32,61,50,NA,14474,37,22,23,20750,48,35,50,1.24,28,NA,NA,NA,NA,NA,NA,293,36,456,22,NA,NA,372,46,865,39,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
Chicago IL-IN,Vlg,2002,8210,3,4335,3646,51425,2700,48425,12100,3700,595.5,13.43,70.86,1.46,1.43,80,62,NA,116728,3,23,20,236348,3,47,17,1.26,20,NA,NA,NA,NA,NA,NA,2132,3,409,33,NA,NA,4265,3,1145,13,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA
Cincinnati OH-KY-IN,Lrg,2002,1570,27,864,777,16900,1100,11200,2525,160.1,29.1,13.43,70.86,1.38,1.36,52,40,NA,25248,21,21,28,55566,21,49,14,1.23,31,NA,NA,NA,NA,NA,NA,511,19,423,29,NA,NA,940,20,1137,14,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
Cleveland OH,Lrg,2002,1785,22,960,861,16800,1310,11490,2845,255.8,56.7,13.43,70.86,1.38,1.36,31,27,NA,16547,31,15,62,30940,36,26,72,1.19,51,NA,NA,NA,NA,NA,NA,331,31,309,59,NA,NA,505,34,586,70,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA
Colorado Springs CO,Med,2002,475,72,252,236,3300,275,4720,1055,14.3,3.8,13.43,70.86,1.39,1.4,34,34,NA,6072,65,20,33,12246,63,39,36,1.18,57,NA,NA,NA,NA,NA,NA,122,65,398,37,NA,NA,203,64,828,44,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
Columbia SC,Sml,2002,425,78,226,211,4820,405,4720,965,6.4,2.4,13.43,70.86,1.25,1.26,22,28,NA,3328,82,10,84,6375,82,21,81,1.08,93,NA,NA,NA,NA,NA,NA,67,80,217,82,NA,NA,111,83,489,81,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Columbus OH,Lrg,2002,1165,36,627,582,13900,930,9690,1835,67.9,16.3,13.43,70.86,1.38,1.36,52,43,NA,13342,41,18,47,28915,41,35,50,1.15,68,NA,NA,NA,NA,NA,NA,268,38,349,49,NA,NA,477,40,858,40,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA
Corpus Christi TX,Sml,2002,320,92,170,159,2960,300,2500,690,21.8,5.2,13.43,70.86,1.32,1.29,15,24,NA,1249,99,6,96,2896,96,14,94,1.03,101,NA,NA,NA,NA,NA,NA,8,101,39,100,NA,NA,49,97,293,96,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA
Dallas-Fort Worth-Arlington TX,Vlg,2002,4280,6,2487,2362,56000,3430,42240,8500,443.2,80.8,13.43,70.86,1.32,1.29,58,41,NA,53432,11,19,39,120850,11,42,27,1.24,28,NA,NA,NA,NA,NA,NA,1075,11,379,42,NA,NA,2004,11,968,27,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,NA
Dayton OH,Med,2002,735,52,390,366,6500,535,6350,1335,42.4,13.8,13.43,70.86,1.38,1.36,36,39,NA,8365,57,16,53,13861,56,27,69,1.13,77,NA,NA,NA,NA,NA,NA,169,56,313,56,NA,NA,232,57,567,74,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA
Denver-Aurora CO,Lrg,2002,2030,20,1214,1147,17400,1110,20925,3385,385,80.9,13.43,70.86,1.39,1.4,67,55,NA,27666,18,19,39,61383,18,42,27,1.29,9,NA,NA,NA,NA,NA,NA,557,17,380,41,NA,NA,1014,18,943,31,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA
Detroit MI,Vlg,2002,4035,8,2163,2029,32600,1890,49955,8275,295.1,53.8,13.43,70.86,1.41,1.37,71,57,NA,62500,10,22,23,135336,10,50,13,1.25,24,NA,NA,NA,NA,NA,NA,1260,10,457,21,NA,NA,2267,10,1108,15,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA
El Paso TX-NM,Med,2002,665,56,353,331,4550,345,5435,1335,61.8,11.2,13.43,70.86,1.32,1.29,35,28,NA,9282,52,21,28,14642,55,33,55,1.21,41,NA,NA,NA,NA,NA,NA,187,52,410,32,NA,NA,257,53,723,58,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
Eugene OR,Sml,2002,235,96,125,117,1305,110,1825,390,31.5,8.7,13.43,70.86,1.52,1.47,25,26,NA,1442,97,9,91,3114,95,21,81,1.16,63,NA,NA,NA,NA,NA,NA,29,92,170,88,NA,NA,56,95,428,89,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Fresno CA,Med,2002,585,63,311,291,3215,260,6510,1355,38,12,13.43,70.86,1.66,1.58,36,37,NA,2974,85,7,94,8003,76,18,91,1.09,88,NA,NA,NA,NA,NA,NA,38,91,84,97,NA,NA,138,75,451,85,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Grand Rapids MI,Med,2002,570,65,303,284,4300,370,7005,1585,24,5.6,13.43,70.86,1.41,1.37,31,36,NA,3696,79,8,93,8211,75,21,81,1.11,84,NA,NA,NA,NA,NA,NA,74,77,161,90,NA,NA,140,74,477,83,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Greensboro NC,Sml,2002,295,93,157,147,3810,400,2350,635,10,2.5,13.43,70.86,1.33,1.32,18,25,NA,3521,80,21,28,9212,72,47,17,1.17,61,NA,NA,NA,NA,NA,NA,70,78,425,28,NA,NA,162,72,1101,16,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA
Hartford CT,Med,2002,875,46,463,434,10360,785,6900,1610,142.8,19.2,13.43,70.86,1.46,1.42,34,32,NA,12030,44,21,28,21821,46,36,46,1.19,51,NA,NA,NA,NA,NA,NA,241,43,429,24,NA,NA,354,47,800,50,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA
Honolulu HI,Med,2002,700,54,372,348,5775,415,3155,505,332.7,74.7,13.43,70.86,1.72,2,48,46,NA,9431,51,20,33,14863,53,34,52,1.28,11,NA,NA,NA,NA,NA,NA,188,51,401,36,NA,NA,238,56,748,55,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA
Houston TX,Vlg,2002,3720,12,2120,1976,48900,2900,39980,7450,580.5,96.9,13.43,70.86,1.32,1.29,65,46,NA,47556,12,19,39,106126,12,44,22,1.26,20,NA,NA,NA,NA,NA,NA,956,12,390,38,NA,NA,1742,12,969,26,NA,NA,NA,NA,NA,NA,NA,NA,1.17,NA,NA
Indianapolis IN,Lrg,2002,1040,39,560,520,11400,740,13290,1880,53.3,10.3,13.43,70.86,1.29,1.3,63,55,NA,16159,33,25,13,36831,28,54,8,1.15,68,NA,NA,NA,NA,NA,NA,328,32,519,10,NA,NA,658,27,1317,5,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA
Indio-Cathedral City-Palm Springs CA,Med,2002,410,82,218,204,800,85,2975,660,26.3,3.8,13.43,70.86,1.66,1.58,30,40,NA,2628,86,10,84,4170,90,14,94,1.06,99,NA,NA,NA,NA,NA,NA,24,95,90,96,NA,NA,75,90,325,95,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
Jackson MS,Sml,2002,390,83,207,194,4240,350,5200,1410,1.5,0.8,13.43,70.86,1.32,1.27,19,22,NA,4156,76,13,76,6137,83,21,81,1.13,77,NA,NA,NA,NA,NA,NA,86,75,267,73,NA,NA,118,80,506,80,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
Jacksonville FL,Lrg,2002,905,44,487,452,9965,730,8925,1480,59.1,9.3,13.43,70.86,1.41,1.41,53,52,NA,12410,42,20,33,21982,45,34,52,1.23,31,NA,NA,NA,NA,NA,NA,249,41,422,30,NA,NA,375,44,766,53,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA
